序号,评论者,评论内容
11,浙江科技有限公司,第一个有点可怕啊。。伪造证据什么的怎么辨别啊。。
12,因帕瑟博,这才是真的扶贫，我真的很难分明up的自私从何说起，来个人提醒下我想多了
13,五米汤圆,修复马赛克太实用了
14,梦醒方知,ai还可以更强更全能，我们大多数人的学习能力都追不上ai，这是一种良币驱逐劣币的过程，ai也不是没有短板，最起码有关物质生产的活动ai就参与不进来，ai的长处是工具属性，它几乎是互联网上最好用的工具
15,势韵-洛十一,这些是软件智能应用，不是人工智能。其实这些变化告诉我们，可能未来看到的图片或视频画面并不一定都是真实的。对于喜欢制造假新闻的欧美西方媒体而言，可能造谣抹黑他国会更频繁，这一点值得我们警惕！
16,摸金宝鹅,这些东西对adobe 公司地位的撼动还是挺大的。
17,史神666,"道高一尺，魔高一丈。
AI越厉害，就应该就会有更厉害的软件工具，来检测出图片是否被AI工具动过手脚"
18,绯色鱼骨头,不知道该不该担心，修复马赛克对缉毒警不太好吧，还有一些必要的人权保护什么，以后都得挡严实了。
19,鲨鱼辣椒Origin,已经学不过来了 躺下了
20,cannedaa,"我是比较俗
有便宜的专情ai伴侣快点普及就好"
21,近视的狸猫,现在的ai被限制太多了，自己想搭建自己的ai模组对自己的pc配置要求又太高
22,FHFHart,大家也不用绝望，AI这东西对于精确度要求比较低的工作，确实挺强的，但是对于精度要求相对较高的工作是非常无力的。
23,我也不是撒旦的女儿,第一个有点可怕啊。。伪造证据什么的怎么辨别啊。。
24,红梅君心,那造谣不就更无法辨别了，然后网络上的视频都不敢再相信了，更可怕的是，现在的小孩子自己拿着手机刷视频，没有丝毫辨别真假的能力，他们只会把他们看到的当成真的，到那是这些科技又该如何应对
25,叔圈喊话bot,这真的会淘汰很多岗位
26,学前班大班扛把子,模糊马赛克给变清晰太牛了，我有大用
27,菲菲叫的还是我的名字,我朋友问能替换马赛克吗？ 他喜欢看外国影视作品
28,tiger哗啦,ai芯片真就是未来啊
29,呆毛兽兽,修复马赛克，嗯。。我有一个险恶的想法。。。不知道各位懂不懂
30,GoARDess,新技术出来我们国内都在讨论这技术给我们身边带来多少麻烦，我们的自我保护意识还是很强的。不是说不能用在正途。但是也要提高警惕。
31,数码科技有限公司噢,"道高一尺，魔高一丈。
AI越厉害，就应该就会有更厉害的软件工具，来检测出图片是否被AI工具动过手脚"
32,火星の团长,人工智能确实让人更自由了，能够更方便快捷的使人达到自己的目的，希望技术更加进步，操作的门槛更加的低，让每一个人都能简单的创造出自己想要的作品
33,提醒自己用心学习,监控视频都可以改了是吧
34,好家伙阿呆,"赶快发展,已经想一个人轻松做一款游戏了"
35,Funkyhiphop,感觉科幻就快照进现实了以后可以3d打印食物吗
36,super冰墩墩,我想问的是老游戏分辨率低不清晰，啥时候能有增强的AI滤镜
37,神形积圆无人能范,现在AI发展太快了，我记得小时候看过一部国外的剧，一部黑色轿车会说话会自己开，感觉再过几年就能造出来了
38,Zoobeasts,但是学术界ai和工业界ai已经脱节很严重了。。现在这些再怎么修图，它对基础科学帮助都不大。这导致大部分物理研究还停留在cnn，lstm上，个别合作能力强的会用强化学习。也就只有生物和医学ai发展能跟上他们工业届的速度。
39,agt10,所以有没有ai可以做工程设计图纸
40,bibibbiaw,我有个朋友希望有一个工具能通过描述场景、演员动作来检索出相关电影，或者根据某个镜头画面来检索出相似的影片，甚至能AI创造出不存在的动作和场景，主要用于学术研究
41,韭菜炒皮蛋,虽然，但是很多功能都是看别人安利时好用，自己体验很鸡肋
42,豆皮儿儿,Generative Image Dynamics  无法使用 只是一个演示~可惜了 ！！！
43,天道损益,只要有规律和既定流程的操作，都可以用AI实现
44,RompitaRevo,只能说是稳步发展吧，爆炸式发展称不上，毕竟感觉他们并没有在上一步的基础上走太远，但确实是在走的。
45,迷之立方铁,@G_瓜瓜_ZY
46,Ewqr646167645,给了网站我也看不懂上面写的啥呀，要我们敲代码呢
47,zzzqzzxc,可以修复视频的马赛克吗？
48,海洋调香水,那万一警察遇到被AI篡改的视频，不会抓错人吗
49,梦晚生,在ai技术的加持下，以后造谣成本会越来越低，谣言的传播也会越来越嚣张。
50,灰兵哨小狼,只能说合理使用，勿过度跟人做比较，没可比性，合成数据程式和人脑纤上特率容量是不同的，我只是很好奇，ai合成绘制工具为何不直接叫ai图片合成器，叫什么ai绘画？ai又不会自己画画本意上就是合成别人数据和待定模板指令化处理系统的程式何等何能叫做ai绘画，还有人觉得厉害，优势就是绘画合图产图上快速，而并非代表他是画师，希望有些人不要太过度吹捧拿来跟人比较，与其多吹捧倒不如多学习强化自己能力。拒绝摆烂擅自违规复制他人信息数据处理项目，支持正版授权合理规划学习进行使用，理性看待，合理规划即可。
51,天黑请起床,那是不是意味着科幻片不用那么高成本了
52,小荫,可不可以去除马赛克，可以的话我就学
53,学医的小张Z,@第二个好啊
54,然也j,为啥这些网页进去都这么慢嘞，不得不说这些信息差真的可怕，现在除了gpt外就知道文心一言，通义千问，星火讯飞和豆包
55,B站用户一条,修复照片的用过，变得和本人不一样
56,婧Jeanowl,CodeFormer可以把家里的老旧照片人物变得清晰，准备去试试，看好不好操作
57,沙区123,这个我知道，现在足球比赛的回放已经用上了这个，有时候进球会被AI视频播放出来显示没有进球
58,miss_fang,游戏或视频中dlss不就用上了吗？减少数据传输，显卡还原也比较快
59,AI课代表呀,"AI课代表的笔记：这个视频介绍了一些令人惊叹的AI神器，包括能够瞬间移动物体、修复照片和视频、抠像和生成动态效果等功能。这些神器来自香港大学、上海人工智能实验室、南洋理工大学等机构，能够以非常柔和的方式完成各种图像处理任务。这些工具可以帮助人们实现一些之前需要人工和后期软件才能完成的任务，而且大部分都已经开源免费。 

- 0:01 🚀AI神器：物体瞬间移动
- 1:31 📷AI神器：模糊照片修复
- 3:03 🎥AI神器：视频无限循环

本内容由大模型自动生成，关注并 @AI课代表呀 总结其它视频吧~（本条由 @_看着你_ 召唤）"
60,绝对四分之一,问个简单的问题，杀毒软件是系统软件还是应用软件
61,winteroff,AI就是未来
62,眠眠手上动土,@鸣潮科学 心情复杂
63,闲無聊,"为什么感觉外面的几乎很多是免费的！
而国内........"
64,帕迪亚不播,冷静一下，来个我们看得见摸得着的免费口语练习AI用起来吧。小程序可栗口语，用完喜欢的话记得给我点赞
65,审判者尘苺,那按这个发展下去，不会有人用这个犯罪吧？我个人觉得吧，现在发展还是太快了，应当减慢一些让我们逐步的慢慢适应，如果还是如此之快的话，仔细想想，失业的人不就越来越多了吗？
66,Dakota_Sophie,那么古老的学习资源也可以变高清吗
67,一代英雄1,这Ai工具挺耗费电能的吧？？
68,尘纬星,有ai辅助真的很高效，但经常被辅助的人就会知道，ai始终还是需要人去校正补全的
69,B太狼,看完只感觉一种莫名的恐怖感
70,售人控,AI对资本市场可以来个改革了，不用当廉价劳动力了
71,道号七玄子,小电影也要更新换代了
72,好吧雷哥,哈哈哈哈哈哈哈，我的s1，
73,光阴是历史的缩影,我朋友让我问问视频可以去掉马赛克吗？
74,枯枝-松柏,在我看来，与其说是AI技术进步，不如说是影像技术的进步
75,输入昵称啊喂,我想知道我怎么才能用到
76,RURU战神,好用我就回来投币
77,来来熊1,人能活着真的很棒，你能看到越来越多的东西被发明出来。日新月异。
78,沧海Sama777,就怕被用来干坏事
79,洲星零,有人说ai不会人情世故，ai现在根据情景已经可以瞬间找到合理的回答甚至是你都想不到的处理，看起来我感觉它和人交流的区别就是正常人怎么可以不用思考反应那么快有点假
80,少先队三对长,小程序智宇同学，很好用
81,来自星星的可爱的你,随着人工智能发展，以后真相和假象会越来越难辨别。
82,墨戎恤,AI知道对于它而言，人类是古神（克苏鲁概念）吗？人类对于AI而言，不可描述，不可理解，不可直视。人类之中的几个人至少稍微改一下，AI就彻底面目全非了。但是它不知道该如何操作才能让人类长出“腮”和“翅膀”，话说人类自己都不知道。
83,痴仁槊梦,对于去马赛克方面的研究，98tang还真的处于前沿领域。尤其是对于老片的解析，和步兵大差不差了。但是对新片的解析力，还是不足的。并不像是解析，有点像是替换，总有那么一点别扭，而且可能会牺牲画质，有没有懂得老哥？
84,就叫_老王吧,我都看过了，无码破解版，说实话细节还是不够，但是比以前好多了，搭配中文字幕，很不错。
85,人类观察员Sage,"开源使用门槛高
免费不一定好用
付费不一定买得起
这就是进收藏夹吃灰的原因"
86,灬狼灬彡,"超高级马赛克可以修复吗=.=？
、"
87,bili_130719,我突然觉得：不会英语，未来真就亏大了。
88,天冷快睡觉,关注了老麦就没用过ai资源，但我是借此了解ai发展到什么地步真的越来越离谱，已经分不清真真假假了
89,黄瓜没有茄子好用,我的370G的打码视频，要多久才能修复
90,反反建构,你们觉得单个技术的发展是J型曲线还是S型曲线？J型指的是指数发展，进步的速度越来越快，从一年一个样到一个月一个样到一天一个样，一个小时一个样；S型曲线指的是前期指数发展，之后慢慢碰到瓶颈，技术做到极限也只能获得很低的收益，也即边际效益递减。现在请问，现在的各项技术发展会是什么样的呢？
91,黑夜之声丷,大家天天讨论危害性，但是有也非常好的一面，以后就是科技模仿的魔法世界了。
92,哼哼哈嘿二将,有没有物品渲染的AI？就是上传一个材料图片，➕一个3D模型，直接生成比较真实的渲染成品？或者有没有更简单一点的AI，拿个现成的产品图片，直接换成自己想要的材质？
93,梦狄雨,有些感觉一直都有类似的（动捕、高清修复），有些感觉以后会很好用（抠图提高影视剧特效质量），还有些它看上去就有点危险……
94,丧尽天良小日本,我只能想到，如果应用在犯罪活动上，那么警方的取证将会异常困难……
95,783954_bili,把大脑工作过程变成数据了
96,墨MY影,令人震惊的收藏量
97,奇奇App,未来的AI会越来越成熟  所以现在的发展速度真的算是很快
98,葛配弦,真的是遥遥领先，国内网基本上都打不开
99,xbsake,真优秀3连
100,理想型是喜多川海梦,你输入1句话，AI1秒给出结果。同时地球上某个地方，也有1升水被用于冷却服务器
101,涵2艺术干杯,热知识☞视频也是一帧帧图片组成的
102,前面那个蛆,up主，网址在哪
103,求取关,有哪款免费软件能平替现在ps的创成式填充
104,程序员苍何,谢谢分享
105,仅富圈-启明星,"终于知道什么叫利用信息差赚钱了
比如我没刷到这个视频，天天打游戏，不知道这些发展
有些人就可以用修复一张老图片几块钱几块钱的卖，结果就是AI一键的结果
所以我是真诚的建议，视频剪辑或者ps这些软件应该出现在教学中，让更多的人学到这些，或者理解个大概"
106,艾克贝鲁特1,一个网址都打不开
107,神尧至纯圣俭文皇帝,大家也不用绝望，AI这东西对于精确度要求比较低的工作，确实挺强的，但是对于精度要求相对较高的工作是非常无力的。
108,萝卜爱吃摩托车,我在想像迪士尼那样的建模动画能不能用ai制作
109,十口火禾,有多少人10年后生活压力比现在小？另外，10年后有多少人生活压力比现在同龄人小？50%？会不会太乐观了？
110,星河拉,up俊，修复视频的有吗
111,下午茶女,我有个朋友想问下视频马赛克能去吗
112,星痕涯,"代码编程人员:oh！想做的却已经做完了（捂脑袋）
旁边的人：老兄，还有其他方面嘛（拍拍肩）"
113,JiSoo533,以后有图都无真相了
114,卍御膳房总管卍,我还是觉得那天刷到的贾维斯更牛逼
115,我呢懒得给你解药,朕的超清武林外传指日可待
116,七颜的什锦铺,请问这些网站有使用指南吗，打开进去都不知道怎么用
117,赛博何丁真同学,你说能去马赛克我就精神了
118,超越极限8888,"记住假的永远真不了
AI只能作为人类的助手使用"
119,你知道东方在哪一方？,你想想，不学英文这些东西接触都难。所以，未来的学生可以不学中文，但英文必须要会！
120,弧影流光,ai再继续这样发展下去会不会颠覆法律学证据定义，直接上演真假美猴。稍有不慎就是冤假错案
121,渡流年-,可以呀卡
122,twilightlee,"老师经常会给家长发一些手机拍的习题或试卷让打印，但是图片格式，打印出来效果很差。

所以有没有可以把图片转成doc的AI工具？要求不丢排版信息。"
123,季节流传,感谢分享！
124,linkoln,待我一个个来试用，感谢🆙
125,只为自己想听,太良心了，如果有时间的话可以出下使用教程更好了
126,牛腩炖土豆_,我一般都是白嫖党 但是这个博主的无私真的让我无法白嫖 一健三连了！！！
127,健jian07,已投币
128,阿猪是猪儿虫i,坏了，不会用
129,皮皮鱼酱儿,up我想问一下为什么我用tokenflow的demo只能生成2秒视频呢
130,ss鱼神,第三个怎么用呐
131,张北海,已收藏
132,Binggo旭宁,备受震撼
133,该昵称已存在了很久,看到图片修复就突然想起前两年和人在网上因为在马赛克可不可以修复对线好几天的事了，我就说了句我手机可以修复就被烦了几天
134,AKMT433,找到网站了，但是咋用啊？
135,哟灬幽鬼,除马赛克的我就等大神们让我白嫖了
136,超级大白猫,有没有可以让带文字的图片变清晰的工具，关键是文字也变清晰了
137,爱穿丨白衬衫,为啥全是英文的，我看不懂，，英语都还给老师了
138,小肥仔11,太牛了
139,一口三个胡桃,以后的生产力更厉害
140,冬马雪菜都是好女孩,"那啥去码在七八年前就有对应项目了

特定影片因为只会对特定部位打码，对于ai训练的要求比通用模型低很多……你看过那些所谓的流出原片，有一部分就是ai产物。当然我没看过，都是别人跟我说的，真实性不负责"
141,jeshersxc,虽然暂时用不上但不投两个币对不起你
142,青岳之岚,新技术发展是好的，但总忍不住思考：日后信息的真伪更难辨认，进一步加剧信息蚕房；日后不精细工作被AI取代，大量失业人员。当然这两个主要担忧是有前提的，前提是社会不立法规定维护人民利益，任由资本肆意把持这新工具进行剥削。AI似乎能做的还有限，但当它能节省更多时间和成本，生产资料拥有者势必减少劳动力成本以获取最大价值，甚至没有仁德之心，用以从恶。它确实只是工具，但使用它的会是天使还是魔鬼呢？
143,焦糖酿酿,那以后是不是会出个ai鉴定师的职业
144,chaos3Z,"很多人对AI越来越能够取代人工感到忧心忡忡，这很奇怪...
人类理想社会形态的发展轨迹难道不是自身逐渐从繁琐的劳动中渐渐解脱出来
动物、机器、AI、机器人或者将来的某些更不可思议的工具提供生产力来供养全体人类
而人们最终将精力和时间全部投入到对自身、自然和宇宙真理的探索中去吗？
智人花费99%的时间挣扎生存
而借助工具和知识的积累，现代人类只需要投入1/3的时间到劳动中，AI这个灿烂的工具将会使这个数字大幅度缩小"
145,墨家-穆子,光上演示有个锤子用，实际使用垃圾一批
146,上方有他的id,第二个去码（马赛克），应该不属于完全的去马赛克，应该是修复，如果是正常打的马赛克（就qq微信聊天时发图片的那个加马赛克的那种程度），那个软件/程序应该修复不了吧？
147,洛克陈,up，咨询给问题，我想有 chatgpt 或者 clode 帮我读书（主要是工具书），有些书他们不知道或者知道因为版权，或者乱说一气，能不能把特定的书喂给他，让后再让他围绕本书回答，既不涉及版权又不跑题
148,笔清欲洁,最后一个竟然是字节开发的
149,蘩沉落尽,工具是有了，下一步要学会怎么驯服它
150,bili_52264418155,这段时间出了很多单一功能的人工ai ，有没有多功能集合的？我完成一个视频要多个工具不方便
151,手断了还要秀,这都不是真正的人工智能，我估计强人工智能，需要硬件的突破
152,乌罡骨,力量的对错取决于人
153,冬天不醒人士,让图片转脸可以用哪个？就是正脸→侧脸，或者其他角度转向？
154,喝不过羊的内蒙人,哪个大佬能推荐一个软件，能识别桌面上的图标，文字，然后点击，复制之类的动作？按键精灵不好用，只能记住动作…
155,戏水三割g,科技的进步从没有停过，只是应用出来是否被大众所熟知
156,蓝色の雷霆号,2023，AI时代
157,塔塔塔塔塔哄吧啦哄,现在这个速度 感觉我有生之年真能全息上网
158,笑很有福气,up是用什么参数电脑运用的这些呢？
159,h87859705,人像修复试了一下，真挺牛，不过只修复面部，衣服不行
160,☆狼与香辛料☆,去码的确实是神器，可以看新老师们的作品了
161,s小天才s,确实厉害，画面可以互动真的震惊到我了😲
162,Bili-961,终于可以让电影主角变成自己了
163,GavinKwok222,这个世界以后都说虚假的了
164,下个目标全家自驾游,去马赛克那个可以用于视频吗
165,hellowisky,视频照片等证据的鉴定难度越来越大了
166,紫霖曦,只因哥消失的迷题解开了！
167,语-_-无,
168,苏苏苏逸雪,科技进步之余，感觉以后越来越容易作假了。。。
169,就不拔智齿,你要这么想。。。AI要是真这么牛了。。。翻译肯定更牛了。。。
170,一条北海咸鱼,什么时候能发展到丢部小说进去给我生成一部电视剧
171,MoA_Yun,我的天呐！我的脑壳已经跟不上科技的发展了，好震惊。
172,巴适得板是拒绝,ai合成技术提升，是不是意味着判断真假成本更高了。假新闻成本更低了，
173,古今多少事都赴笑谈中,以后每个人都是导演，可以在家兼职导演
174,满怀不在,所以以后还有什么是真的？
175,DoublemintGum,省流:各种AI工具特点总结链接都在笔记，长话短说AI越来越“变态”了，10大AI神器闻所未闻！
176,只因派蒙,ai照这个势头发展下去，什么时候进入黄金时代
177,哨音,哦，这个autofill是抠图层这一步用了AI，生成动画生成是和AI没什么关系的，我说呢（
178,IvanID,感觉可以自己拍电影了，
179,泥岩带魔王,我想问问看那以后法庭上的证据该如何保证真实性呢，比如我想控告一个人但是他有一手的虚假 ai 证据，到时候不会给法官 cpu 干烧吗
180,黑色是真爱的颜色,现在diffusion模型太火了，太卷了
181,小伊鹤舞,变形和修复属于创造吗？智能体现在哪里呢？
182,栤ing,所以，代码要怎么用
183,Newpandaaa,"AI很强，即使在某些领域已经超越人类，但AI毕竟是人类世界的产物，AI再只能与人共存不能单独存在。首先AI所做的一切事情都是人类给出的指令，其充当的角色现代人生活中最重要的工具之一。其次AI能完美的完成人类给出的一切指令，但这个完成的过程是机械的，在一些具有人情味的工作上AI是无法完成到人类的高度的，比如说戏剧表演或是体育比赛，不是说AI机器人不能进行体育竞技，只是AI不能代替人类进行体育竞技。然而随着AI的迅速发展，我觉得现在很多人有时都会有一种""跟不上时代“的感觉，如今AI的发展已经成为一个不可逆的趋势，我们需要在这样的潮流中保持清醒，就需要我们掌控好这个工具。"
184,大慈大悲观世阴,有人告诉我爬梯子是违法的，很多东西都用不了，好像我们只要像猪一样闷头吃食就好了，有些东西不需要知道
185,思G华,以后还会有真的 照片或者视频吗
186,Fetterslight,子纬老师太强了
187,透明恒星,总觉得这种ai技术很不可思议。
188,因你而在的美,很多行业应该都会受点影响吧
189,白矮星之瞳,10个AI9个墙
190,柠檬不萌2538,我感觉搞视频剪辑要被饿了
191,慮慧,已经学不过来了 躺下了
192,大马士哥,就凭你放链接，值得3连
193,淘谱伴奏网,早期NBA比赛可以还原吗
194,Louisa1,
195,玥玥mo,哇擦
196,哈拉亚,@爱哈拉亚 蛮有意思的
197,無我原非你,导演非常喜欢
198,晴天jjy,全网最有良心的up
199,betiga,AI 怎么知道背景如何完美修复呢？
200,想不出起什么名啦,可怕，查案越来越困难了
201,小朋友的奥特曼宝贝,这样做定格动画片那就简单了
202,楼弦宇,救命，不是打不开，就是开了也用不了，是我上网的方式不对还是这些网站不能随意运用啊
203,小柑子1,科技进步很神奇很厉害但又很恐怖，真真假假分不清了
204,WorldMaya,虽然身处在这个年代，但我还是觉得这简直跟魔法一样！
205,河对面的老王,可惜我不会英文啊
206,原语Leo,牛啊
207,amberap,未来很可怕！！！！
208,瓜吃群众不吐皮,以后无法区分什么才是“真实”的了
209,豆豆吃粽子不撒糖不吃,@七七玩球球 宝宝你给我修复豆豆
210,学医的小张Z,@真的是太6了我去 第二个好
211,二马森森丶,@弈只狐
212,呆萌兔大人,世界变化太快了我还没适应呢
213,昊一爱剪辑,视频呢
214,GerForce4MX440,惊人的收藏
215,新中国坏掉的南瓜,一天渲染二十秒，还有概率呈现效果不好
216,青青小农,工具要看谁用！
217,佩奇走起,这个开源的话也是在Github上吗
218,丶第一个清晨,去马赛克不如说内容识别创新，
219,好家伙秃了没,小说的都会实现是吗
220,万在上神,91大神
221,该评已不存在,会英语的重要性
222,2333计划2号,@有智慧者智乃
223,K神4,挺好，但是不会用啊
224,-Urabe,如何判断是AI做的？
225,蒼木槑,高清修復讓我吃驚
226,Kiki_77z,哇喔～新up来咯，日更jk系列偶更cosplay
227,在江边翱翔的白鹭,不要成长的那么快好吗？
228,caramos,很久没见过收藏比一切高的视频了（）
229,野生咩咩木,恐怖的ai。。。
230,牛茜牛牛牛牛牛,@雨啊好大的雨 啊。？
231,逗比の白菜,感觉很有用很牛逼，但是又感觉完全用不着
232,六定律,秀啊，兄弟
233,キラ鲤,快进，快进，给我快进到AI变成仿生人类管家！每个人都需要一个温暖无微不至的仿生人类管家！
234,渔迦,这是每个人都能做导演的节奏吗，直接生成一部电视剧。
235,bili_42815240551,有没有能自动把图片转成psd源文件，把视频转成pr ae源文件的ai啊？
236,你喜欢啥颜色的麻袋呀,感觉人类进化了没带我
237,身心愉悦号,骑兵变步兵力
238,放肆年代已经过了,学生问，能不能用ai写作文而且不会重复
239,也许你是猪,离我变成钢铁侠已经不远了。
240,小P扑扑,需要显卡吗？
241,长风晨,码住！通通码住！
242,有趣的程序员,"【内容总结】
这个视频介绍了十大AI神器，展示了人工智能领域的最新进展。视频中涉及的AI神器包括物体瞬间移动的艾妮豆、去马赛克工具def bug、文字转图像扩散模型token flow等。还介绍了视频修复神器Pro painter和自动生成动态效果的auto fill AI工具。此外，还提到了其他一些图像模型，如一键视频抠像和给黑白电影上色等。这些AI神器具有革命性的功能，可以在短时间内实现很多复杂的操作。

【时间线】
- 00:00 - 香港大学推出的艾妮豆，实现物体瞬间移动。
- 00:28 - 上海人工智能实验室的def bug，用于图像修复和还原。
- 00:58 - 刺曼科学研究所的token flow，将文字转换为不同效果的视频。
- 01:13 - 南洋理工大学的Pro painter，用于快速抠视频中不想要的人或物。
- 01:44 - 南洋理工大学的高清修复工具，可以修复老照片和老旧视频。
- 02:31 - Moon AI可以将真实拍摄的视频转换成喜剧人物的效果。
- 02:50 - Windows Studio是另一个实现这种效果的工具。
- 03:10 - Auto fill AI工具可以自动生成视频的无限循环效果。

【可能感兴趣的问题】 (触发提问请回复: 问一下+问题)
1. 这些AI神器都提供免费使用吗？
2. 这些工具需要具备编程知识才能使用吗？
3. 是否有类似的AI神器可以应用到其他领域？

内容由AI自动总结, 总结内容仅供参考~ @卡玛哈斯特 触发了视频总结, 触发方式是 @有趣的程序员 总结一下"
243,Hdaaaaa,牛啊
244,创世之都,这对显卡的要求有多高？渲染速度是个咪，
245,Insomnia_sheep,又要失业了
246,爱学习的小轩,想问下up主都是从哪里找的这些工具
247,牙缝の孜然,技术爆炸，开始了。
248,芦苇花开岁已寒若霜,很多人要失业了……
249,万物磕,这些只能用于电脑，还是手机呢。还是两个都可以用呢？
250,大马士哥,视频人我扣掉了，但是怎么把我加进去呢？
251,赖床翻个身,可以预测的是以后影视和动漫的制作会更加高效
252,二0九,不得不学习一下了
253,小菜一碟子_碟碟,1:00，3d动漫狂喜
254,洪樱桃5,@晔玹丶 @卡特尔与辛迪加 看来对绘画设计的冲击真的算是最小的…………
255,玉虚乔,显卡要涨价的感觉
256,神经氨酸酶抑制剂,都是计算机视觉的应用哎
257,_看着你_,@AI课代表呀
258,AKITA是秋田啊,有良心的观众立马三连！
259,yaksa17698,谁能给找个，输入建筑照片，直接生成建筑模型的ai软件
260,桃子槡,一直关注，从未刷到
261,未来人来未,搞快点，今年36了，希望有生之年看到智械觉醒
262,兔子的望月星华,眼见为实的时代已经过去了。
263,ZAKU-III,可惜，希望巴以战争不要影响魏兹曼研究所，以色列理工和特拉维夫大学这样的顶级科研机构
264,甜橘汽水77,用过很多写作工具，最喜欢的还是火花文案
265,浮雕魅影,AI再强也不影响我摆摊卖烤肠
266,下北沢のぼっち野槌蛇,看成10大AI坤怎么办
267,领酒的小仙童,跑男工作人员:为啥不早研究出来啊
268,淡空云漾,有没有给一张图片就能帮我写出网页代码的ai工具
269,默默无闻的观众,放地址不是放微信的高质量up，关注
270,卢比扬卡客房经理,以后拍电影会不会只需要电脑
271,椿风风风风,这发展成了越来越容易造假。。。以后还能看到真实的东西吗
272,black-猫,AI什么时候可以完美去除视频里的马赛克，我有好多学习视频资料，正烦恼那些马赛克呢
273,jyp2056113,人类兴于AI亡于AI，最终人以意念场的形态存在，机器以实体物的形态存在。
274,v6-6ye,多了会审美疲劳，劣质感爆棚，就像现在的ai作画一样，不过提高工作效率还可以
275,爱吃瓜的路人乙1,这下面的评论怎么回事？被盗了？
276,钛金电风扇,以后是不是可以一键生成坤坤的动作片了
277,散兵不歪我就是米禁军,算力转化
278,佩奇走起,太感谢up了，别人可能都是把自己做出来放个视频看看，你这直接讲出来，太赞了，必须三连
279,老实憨厚的孙一蒙,还有没用上官网gpt的么？很简单
280,么错我就是叶良辰,有生之年 人工智能Ai机械飞升不是梦！
281,观众序列零,这下自主研发又有素材了
282,Chopin_Wang,如果一幅图全部都是马赛克能修复吗？如果一张二维码打了马赛克能修复吗？
283,被沐洛捉走的狗子,收藏比赞多系列
284,消防工具人,谢啦！
285,yzv33,不是，你首夜真的
286,快让我麻溜滚去学习,感觉我还活在上世纪
287,larthanlaw,第一个anydoor用不了啊，还在开发阶段，coming soon
