序号,评论者,评论内容
15,史神666,"道高一尺，魔高一丈。
AI越厉害，就应该就会有更厉害的软件工具，来检测出图片是否被AI工具动过手脚"
16,因帕瑟博,这才是真的扶贫，我真的很难分明up的自私从何说起，来个人提醒下我想多了
17,菲菲叫的还是我的名字,我朋友问能替换马赛克吗？ 他喜欢看外国影视作品
18,提醒自己用心学习,监控视频都可以改了是吧
19,学前班大班扛把子,模糊马赛克给变清晰太牛了，我有大用
20,梦醒方知,ai还可以更强更全能，我们大多数人的学习能力都追不上ai，这是一种良币驱逐劣币的过程，ai也不是没有短板，最起码有关物质生产的活动ai就参与不进来，ai的长处是工具属性，它几乎是互联网上最好用的工具
21,绯色鱼骨头,不知道该不该担心，修复马赛克对缉毒警不太好吧，还有一些必要的人权保护什么，以后都得挡严实了。
22,浙江科技有限公司,第一个有点可怕啊。。伪造证据什么的怎么辨别啊。。
23,势韵-洛十一,这些是软件智能应用，不是人工智能。其实这些变化告诉我们，可能未来看到的图片或视频画面并不一定都是真实的。对于喜欢制造假新闻的欧美西方媒体而言，可能造谣抹黑他国会更频繁，这一点值得我们警惕！
24,cannedaa,"我是比较俗
有便宜的专情ai伴侣快点普及就好"
25,GoARDess,新技术出来我们国内都在讨论这技术给我们身边带来多少麻烦，我们的自我保护意识还是很强的。不是说不能用在正途。但是也要提高警惕。
26,zssbying,"ai确实极大降低了艺术品的创作时间和门槛。如果哪一天仅靠观念就能对画面进行设计和微调，那艺术创作可能会进入真正的自由王国——不需要你付出大量的精力和金钱，不需要你通过重复练习来熟练技法，只需要你具有一个艺术家的眼睛和心灵
这也对艺术爱好者提出新的挑战。应该更侧重于美感的积累，观察力的训练，对生活的理解"
27,叔圈喊话bot,这真的会淘汰很多岗位
28,FHFHart,大家也不用绝望，AI这东西对于精确度要求比较低的工作，确实挺强的，但是对于精度要求相对较高的工作是非常无力的。
29,好家伙阿呆,"赶快发展,已经想一个人轻松做一款游戏了"
30,天黑请起床,那是不是意味着科幻片不用那么高成本了
31,近视的狸猫,现在的ai被限制太多了，自己想搭建自己的ai模组对自己的pc配置要求又太高
32,super冰墩墩,我想问的是老游戏分辨率低不清晰，啥时候能有增强的AI滤镜
33,呆毛兽兽,修复马赛克，嗯。。我有一个险恶的想法。。。不知道各位懂不懂
34,Ewqr646167645,给了网站我也看不懂上面写的啥呀，要我们敲代码呢
35,bibibbiaw,我有个朋友希望有一个工具能通过描述场景、演员动作来检索出相关电影，或者根据某个镜头画面来检索出相似的影片，甚至能AI创造出不存在的动作和场景，主要用于学术研究
